impl,n,P,time_s,speedup,efficiency
mpi,51200000,10,0.7585364811663263,4.9245722966720065,0.4924572296672006
mpi,51200000,11,0.7626005793335935,4.898327961448752,0.44530254194988655
mpi,51200000,12,0.7345611551663751,5.085305307657727,0.42377544230481057
mpi,66400000,1,4.217337064500801,1.2017755595891477,1.2017755595891477
mpi,66400000,2,2.31866012933339,2.185871291159704,1.092935645579852
mpi,66400000,3,1.6572106098337827,3.0583273970077047,1.019442465669235
mpi,66400000,4,1.4206055668340316,3.5676986835703626,0.8919246708925906
mpi,66400000,5,1.2380206553334574,4.093867569036135,0.818773513807227
mpi,66400000,6,1.0919477033324558,4.64151588505462,0.7735859808424367
mpi,66400000,7,1.0466838066658966,4.842238485384643,0.6917483550549489
mpi,66400000,8,0.9911386943331308,5.1136058350305955,0.6392007293788244
mpi,66400000,9,0.9459759690004527,5.357739283823264,0.5953043648692515
mpi,66400000,10,0.891190973500367,5.687100477195774,0.5687100477195773
mpi,66400000,11,0.8743784379997427,5.7964519599327025,0.5269501781757002
mpi,66400000,12,0.8358022600004915,6.063985290807329,0.5053321075672774
