N,P,I,time,speedup,efficiency
256,2,190,0.03802234,1.7139089808780836,0.8569544904390418
256,3,190,0.031075,2.097082220434433,0.6990274068114776
256,4,190,0.0271854975,2.3971174336610908,0.5992793584152727
256,5,190,0.0258111975,2.5247503530202344,0.5049500706040468
256,6,190,0.029887557500000002,2.18039998751989,0.3633999979199816
256,7,190,0.033991337499999996,1.9171599234657948,0.2738799890665421
256,8,190,0.03522849,1.8498331889899338,0.23122914862374172
256,9,190,0.0367472775,1.77337844960079,0.19704204995564334
256,10,190,0.037987055000000006,1.715500977898918,0.1715500977898918
256,11,190,0.0375743475,1.734343623665055,0.15766760215136863
256,12,190,0.0383837225,1.697772538867224,0.141481044905602
