size,N,threads,iterations,time,speedup,efficiency
128x128,128,6,130,0.0119414325,0.9725022521376727,0.1620837086896121
128x128,128,7,130,0.014268099999999999,0.8139184614629839,0.1162740659232834
128x128,128,8,130,0.01521498,0.7632655448774825,0.09540819310968532
128x128,128,9,130,0.0161764625,0.7178992316768886,0.07976658129743207
128x128,128,10,130,0.01803243,0.6440102637304013,0.06440102637304013
128x128,128,11,130,0.018738985,0.6197278027598613,0.056338891159987387
128x128,128,12,130,0.0210213075,0.5524428011911248,0.0460369000992604
192x192,192,1,130,0.0250350225,1.0,1.0
192x192,192,2,130,0.016701997500000003,1.4989238562633,0.74946192813165
192x192,192,3,130,0.014246225,1.7573092170031008,0.5857697390010336
192x192,192,4,130,0.013386430000000001,1.870179166514149,0.46754479162853724
192x192,192,5,130,0.01369619,1.8278822431639747,0.3655764486327949
192x192,192,6,130,0.0151231875,1.6554064743295684,0.27590107905492806
192x192,192,7,130,0.0188395375,1.328855472168571,0.18983649602408156
192x192,192,8,130,0.0202544925,1.236023193373026,0.15450289917162824
192x192,192,9,130,0.02050531,1.2209043657472138,0.1356560406385793
192x192,192,10,130,0.0228099825,1.097546764886821,0.10975467648868209
192x192,192,11,130,0.0244842175,1.0224963285022282,0.09295421168202074
192x192,192,12,130,0.02322817,1.0777871222743765,0.08981559352286471
256x256,256,1,130,0.0444104075,1.0,1.0
256x256,256,2,130,0.02700597,1.644466297637152,0.822233148818576
256x256,256,3,130,0.021452545,2.070169646538441,0.690056548846147
256x256,256,4,130,0.0186492225,2.3813543701352695,0.5953385925338174
256x256,256,5,130,0.01818484,2.442166524423641,0.48843330488472814
256x256,256,6,130,0.0185149925,2.3986187139962385,0.39976978566603977
256x256,256,7,130,0.0222388525,1.996973877136871,0.2852819824481244
256x256,256,8,130,0.0237310525,1.8714048818525855,0.23392561023157318
256x256,256,9,130,0.024795535,1.791064701769895,0.1990071890855439
256x256,256,10,130,0.0245990725,1.805369186175617,0.1805369186175617
256x256,256,11,130,0.025581002499999998,1.736069862781961,0.1578245329801783
256x256,256,12,130,0.0265390275,1.673399957854522,0.13944999648787684
128x128,128,1,150,0.013193252499999999,1.0,1.0
128x128,128,2,150,0.01095104,1.2047488183770672,0.6023744091885336
128x128,128,3,150,0.0106247075,1.2417520670569047,0.41391735568563487
128x128,128,4,150,0.011853695000000001,1.1130075896165708,0.2782518974041427
128x128,128,5,150,0.01356906,0.9723040873870407,0.19446081747740812
128x128,128,6,150,0.01655102,0.7971262496208692,0.13285437493681154
128x128,128,7,150,0.017403244999999998,0.758091522586736,0.10829878894096227
128x128,128,8,150,0.0171765075,0.7680986661578321,0.09601233326972901
128x128,128,9,150,0.0186315175,0.7081147576948575,0.07867941752165084
128x128,128,10,150,0.02007681,0.65713888311938,0.065713888311938
128x128,128,11,150,0.0216022125,0.610736168806783,0.05552146989152573
128x128,128,12,150,0.023605465,0.5589066980887688,0.046575558174064065
192x192,192,1,150,0.029794692499999997,1.0,1.0
192x192,192,2,150,0.018994985,1.5685557266825954,0.7842778633412977
192x192,192,3,150,0.016205670000000002,1.8385350621109768,0.612845020703659
192x192,192,4,150,0.01508081,1.9756692445564925,0.4939173111391231
192x192,192,5,150,0.01600951,1.8610621124569082,0.37221242249138164
192x192,192,6,150,0.0175765725,1.6951366655814153,0.28252277759690253
192x192,192,7,150,0.021416962499999997,1.391172651117076,0.1987389501595823
192x192,192,8,150,0.023163977500000002,1.2862511414544413,0.16078139268180516
192x192,192,9,150,0.02281797,1.3057556171736573,0.1450839574637397
192x192,192,10,150,0.0237042325,1.256935549379209,0.1256935549379209
192x192,192,11,150,0.0246127825,1.2105373498506313,0.11004884998642103
192x192,192,12,150,0.027121545,1.098561770725082,0.09154681422709017
256x256,256,1,150,0.05159652,1.0,1.0
256x256,256,2,150,0.030876755,1.6710473623280686,0.8355236811640343
256x256,256,3,150,0.0245020375,2.105805282519872,0.7019350941732907
256x256,256,4,150,0.02314472,2.2292998143853113,0.5573249535963278
256x256,256,5,150,0.023136974999999997,2.2300460626335123,0.44600921252670245
256x256,256,6,150,0.022568465,2.2862219473056764,0.38103699121761275
256x256,256,7,150,0.0262154375,1.9681731422563518,0.2811675917509074
256x256,256,8,150,0.02716619,1.8992917299039727,0.23741146623799658
256x256,256,9,150,0.0289702425,1.781017884127135,0.1978908760141261
256x256,256,10,150,0.0288972825,1.7855146067800667,0.17855146067800667
256x256,256,11,150,0.0293254875,1.759442873711818,0.1599493521556198
256x256,256,12,150,0.0279796725,1.8440716202092786,0.15367263501743988
128x128,128,1,170,0.013746025,1.0,1.0
128x128,128,2,170,0.0114335425,1.202254244474099,0.6011271222370494
128x128,128,3,170,0.01117623,1.2299339759471664,0.40997799198238877
128x128,128,4,170,0.011887729999999999,1.1563204245049308,0.2890801061262327
128x128,128,5,170,0.013120232499999999,1.047696753849446,0.2095393507698892
128x128,128,6,170,0.0152995,0.8984623680512435,0.14974372800854058
128x128,128,7,170,0.0180799975,0.7602890984913023,0.10861272835590033
128x128,128,8,170,0.019414485000000002,0.7080293399490122,0.08850366749362652
128x128,128,9,170,0.0252107375,0.5452448584655646,0.0605827620517294
128x128,128,10,170,0.021258235,0.6466211799803699,0.06466211799803699
128x128,128,11,170,0.0225560075,0.6094174689381532,0.055401588085286654
128x128,128,12,170,0.02413106,0.5696403307604391,0.047470027563369925
192x192,192,1,170,0.0302541825,1.0,1.0
192x192,192,2,170,0.020709217499999998,1.4609041843324115,0.7304520921662058
192x192,192,3,170,0.0182732325,1.655655752204762,0.5518852507349207
192x192,192,4,170,0.0167349575,1.807843402052261,0.4519608505130652
192x192,192,5,170,0.0185747725,1.628778091360204,0.3257556182720408
192x192,192,6,170,0.0205360075,1.4732261127193296,0.2455376854532216
192x192,192,7,170,0.0233227625,1.2971954973172668,0.18531364247389526
192x192,192,8,170,0.023924532499999998,1.2645673431654307,0.15807091789567884
192x192,192,9,170,0.023949502499999997,1.2632488921220808,0.14036098801356453
192x192,192,10,170,0.024553535,1.2321721699136192,0.12321721699136193
192x192,192,11,170,0.0256164675,1.181044283330635,0.10736766212096681
192x192,192,12,170,0.02829969,1.0690640957551125,0.08908867464625937
256x256,256,1,170,0.0551502125,1.0,1.0
256x256,256,2,170,0.03355843,1.6434086010579159,0.8217043005289579
256x256,256,3,170,0.0253165375,2.178426354709841,0.7261421182366137
256x256,256,4,170,0.022277595,2.475590946868367,0.6188977367170917
256x256,256,5,170,0.0217092025,2.5404071153696224,0.5080814230739245
256x256,256,6,170,0.0241675375,2.2819955280921773,0.3803325880153629
256x256,256,7,170,0.0267730375,2.0599161563195807,0.29427373661708295
256x256,256,8,170,0.0282827025,1.949962614074804,0.2437453267593505
256x256,256,9,170,0.029273809999999997,1.8839437879797676,0.2093270875533075
256x256,256,10,170,0.0312139975,1.7668423437273613,0.17668423437273612
256x256,256,11,170,0.0332629675,1.658006385028636,0.15072785318442145
256x256,256,12,170,0.03230524,1.7071599684757024,0.14226333070630853
128x128,128,1,190,0.015635549999999998,1.0,1.0
128x128,128,2,190,0.014249982500000001,1.0972329264264007,0.5486164632132003
128x128,128,3,190,0.0135720375,1.1520414676130977,0.3840138225376992
128x128,128,4,190,0.013147595,1.1892327075788385,0.2973081768947096
128x128,128,5,190,0.0153650025,1.0176080348831702,0.20352160697663405
128x128,128,6,190,0.017592490000000002,0.8887627618375793,0.14812712697292987
128x128,128,7,190,0.01917106,0.8155808807650697,0.11651155439500996
