k,r,b,t,r_frac,b_frac,t_frac
34700,9946,13844,10910,0.28662824,0.39896254,0.31440922
34800,9967,13899,10934,0.28640805,0.39939655,0.31419540
34900,9990,13944,10966,0.28624642,0.39954155,0.31421203
35000,10012,13991,10997,0.28605714,0.39974286,0.31420000
35100,10040,14039,11021,0.28603989,0.39997151,0.31398860
35200,10061,14079,11060,0.28582386,0.39997159,0.31420455
35300,10091,14110,11099,0.28586402,0.39971671,0.31441926
35400,10125,14151,11124,0.28601695,0.39974576,0.31423729
35500,10156,14189,11155,0.28608451,0.39969014,0.31422535
35600,10188,14232,11180,0.28617978,0.39977528,0.31404494
35700,10215,14271,11214,0.28613445,0.39974790,0.31411765
35800,10255,14305,11240,0.28645251,0.39958101,0.31396648
35900,10271,14352,11277,0.28610028,0.39977716,0.31412256
36000,10298,14390,11312,0.28605556,0.39972222,0.31422222
36100,10331,14425,11344,0.28617729,0.39958449,0.31423823
36200,10360,14460,11380,0.28618785,0.39944751,0.31436464
36300,10389,14504,11407,0.28619835,0.39955923,0.31424242
36400,10413,14539,11448,0.28607143,0.39942308,0.31450549
36500,10440,14577,11483,0.28602740,0.39936986,0.31460274
36600,10466,14613,11521,0.28595628,0.39926230,0.31478142
36700,10485,14659,11556,0.28569482,0.39942779,0.31487738
36800,10510,14699,11591,0.28559783,0.39942935,0.31497283
36900,10537,14740,11623,0.28555556,0.39945799,0.31498645
37000,10558,14787,11655,0.28535135,0.39964865,0.31500000
37100,10591,14822,11687,0.28547170,0.39951482,0.31501348
37200,10618,14866,11716,0.28543011,0.39962366,0.31494624
37300,10649,14897,11754,0.28549598,0.39938338,0.31512064
37400,10674,14942,11784,0.28540107,0.39951872,0.31508021
37500,10705,14984,11811,0.28546667,0.39957333,0.31496000
37600,10736,15020,11844,0.28553191,0.39946809,0.31500000
37700,10774,15063,11863,0.28578249,0.39954907,0.31466844
37800,10801,15104,11895,0.28574074,0.39957672,0.31468254
37900,10830,15147,11923,0.28575198,0.39965699,0.31459103
38000,10855,15189,11956,0.28565789,0.39971053,0.31463158
38100,10882,15235,11983,0.28561680,0.39986877,0.31451444
38200,10913,15273,12014,0.28568063,0.39981675,0.31450262
38300,10949,15313,12038,0.28587467,0.39981723,0.31430809
38400,10978,15354,12068,0.28588542,0.39984375,0.31427083
38500,11004,15393,12103,0.28581818,0.39981818,0.31436364
38600,11031,15438,12131,0.28577720,0.39994819,0.31427461
38700,11065,15477,12158,0.28591731,0.39992248,0.31416021
38800,11096,15518,12186,0.28597938,0.39994845,0.31407216
38900,11132,15549,12219,0.28616967,0.39971722,0.31411311
39000,11158,15594,12248,0.28610256,0.39984615,0.31405128
39100,11179,15649,12272,0.28590793,0.40023018,0.31386189
39200,11210,15682,12308,0.28596939,0.40005102,0.31397959
39300,11248,15722,12330,0.28620865,0.40005089,0.31374046
39400,11280,15758,12362,0.28629442,0.39994924,0.31375635
39500,11312,15793,12395,0.28637975,0.39982278,0.31379747
39600,11341,15839,12420,0.28638889,0.39997475,0.31363636
39700,11365,15891,12444,0.28627204,0.40027708,0.31345088
39800,11388,15935,12477,0.28613065,0.40037688,0.31349246
39900,11413,15976,12511,0.28604010,0.40040100,0.31355890
40000,11438,16017,12545,0.28595000,0.40042500,0.31362500
40100,11466,16057,12577,0.28593516,0.40042394,0.31364090
40200,11494,16092,12614,0.28592040,0.40029851,0.31378109
40300,11523,16126,12651,0.28593052,0.40014888,0.31392060
40400,11547,16178,12675,0.28581683,0.40044554,0.31373762
40500,11574,16218,12708,0.28577778,0.40044444,0.31377778
40600,11605,16258,12737,0.28583744,0.40044335,0.31371921
40700,11639,16301,12760,0.28597052,0.40051597,0.31351351
40800,11666,16338,12796,0.28593137,0.40044118,0.31362745
40900,11701,16381,12818,0.28608802,0.40051345,0.31339853
41000,11727,16422,12851,0.28602439,0.40053659,0.31343902
41100,11758,16453,12889,0.28608273,0.40031630,0.31360097
41200,11788,16497,12915,0.28611650,0.40041262,0.31347087
41300,11818,16535,12947,0.28615012,0.40036320,0.31348668
41400,11842,16586,12972,0.28603865,0.40062802,0.31333333
41500,11866,16625,13009,0.28592771,0.40060241,0.31346988
41600,11890,16667,13043,0.28581731,0.40064904,0.31353365
41700,11922,16706,13072,0.28589928,0.40062350,0.31347722
41800,11948,16744,13108,0.28583732,0.40057416,0.31358852
41900,11988,16783,13129,0.28610979,0.40054893,0.31334129
42000,12015,16823,13162,0.28607143,0.40054762,0.31338095
42100,12040,16865,13195,0.28598575,0.40059382,0.31342043
42200,12066,16910,13224,0.28592417,0.40071090,0.31336493
42300,12095,16945,13260,0.28593381,0.40059102,0.31347518
42400,12119,16991,13290,0.28582547,0.40073113,0.31344340
42500,12147,17029,13324,0.28581176,0.40068235,0.31350588
42600,12177,17066,13357,0.28584507,0.40061033,0.31354460
42700,12205,17112,13383,0.28583138,0.40074941,0.31341920
42800,12236,17148,13416,0.28588785,0.40065421,0.31345794
42900,12258,17197,13445,0.28573427,0.40086247,0.31340326
43000,12284,17246,13470,0.28567442,0.40106977,0.31325581
43100,12318,17281,13501,0.28580046,0.40095128,0.31324826
43200,12342,17319,13539,0.28569444,0.40090278,0.31340278
43300,12376,17354,13570,0.28581986,0.40078522,0.31339492
43400,12409,17388,13603,0.28592166,0.40064516,0.31343318
43500,12439,17427,13634,0.28595402,0.40062069,0.31342529
43600,12473,17470,13657,0.28607798,0.40068807,0.31323394
43700,12499,17502,13699,0.28601831,0.40050343,0.31347826
43800,12536,17538,13726,0.28621005,0.40041096,0.31337900
43900,12562,17579,13759,0.28615034,0.40043280,0.31341686
44000,12586,17629,13785,0.28604545,0.40065909,0.31329545
44100,12616,17669,13815,0.28607710,0.40065760,0.31326531
44200,12647,17710,13843,0.28613122,0.40067873,0.31319005
44300,12674,17752,13874,0.28609481,0.40072235,0.31318284
44400,12708,17790,13902,0.28621622,0.40067568,0.31310811
44500,12735,17834,13931,0.28617978,0.40076404,0.31305618
44600,12762,17874,13964,0.28614350,0.40076233,0.31309417
44700,12800,17905,13995,0.28635347,0.40055928,0.31308725
44800,12829,17941,14030,0.28636161,0.40046875,0.31316964
44900,12863,17986,14051,0.28648107,0.40057906,0.31293987
45000,12891,18026,14083,0.28646667,0.40057778,0.31295556
45100,12918,18074,14108,0.28643016,0.40075388,0.31281596
45200,12946,18124,14130,0.28641593,0.40097345,0.31261062
45300,12975,18159,14166,0.28642384,0.40086093,0.31271523
45400,13005,18198,14197,0.28645374,0.40083700,0.31270925
45500,13038,18237,14225,0.28654945,0.40081319,0.31263736
45600,13064,18289,14247,0.28649123,0.40107456,0.31243421
45700,13098,18331,14271,0.28660832,0.40111597,0.31227571
45800,13122,18372,14306,0.28650655,0.40113537,0.31235808
45900,13153,18409,14338,0.28655773,0.40106754,0.31237473
46000,13189,18439,14372,0.28671739,0.40084783,0.31243478
46100,13208,18489,14403,0.28650759,0.40106291,0.31242950
46200,13231,18533,14436,0.28638528,0.40114719,0.31246753
